gene_ids,ens_gene,Pan_hrt_1,Pan_hrt_2,Pan_kid_1,Pan_kid_2,Pan_liv
732485,NSPTRG00000047721,3.07446,12.4937,3.04507,233.246,3.55302
100608872,NSPTRG00000047722,0.000217534,0.0161973,5.87423,3.732243,0.0461959
452566,NSPTRG00000047723,11.1243,9.7621,15.6628,20.8821,10.5847
740913,NSPTRG00000047725,0,0,2.27066,0,0
471930,NSPTRG00000047726,0,0,0,0,0
101058538,NSPTRG00000047748,0.721013,0.266854,0.998032,1.01979,0.743281
450441,NSPTRG00000047749,0,0,0,0,19.1998
468976,NSPTRG00000047753,1.484756,0.22606,1.12728,0.287965,6.724727
469752,NSPTRG00000047755,0,0,0,0,0
100614106,NSPTRG00000047756,7.93521,8.12203,17.8165,24.8976,10.5574
450714,NSPTRG00000047766,6.87496,6.613066,4.408,4.973874,1.5066546
737972,NSPTRG00000047767,242.123,277.275,484.36,732.16,466.817
461993,NSPTRG00000047777,0.773857,0.827078002,2.08807,2.4768,3.84592
468757,NSPTRG00000047781,0,0,0,0,0
464233,NSPTRG00000047797,13.1332273,29.06306001,12.53677,16.593811,5.735583
453209,NSPTRG00000047801,1.62187,0.992111,4.46375,3.97192,4.15545
107976010,NSPTRG00000047803,3.36691324,2.38204,2.998050038,2.327286002,2.080031
386599,NSPTRG00000047816,69.36905,129.15061,154.90712,323.49367,110.16281
104001660,NSPTRG00000047818,0.708794,0.119455,20.8801,20.7454,8.07875
458852,NSPTRG00000047826,8.192362,7.633356,9.118145,7.438149,5.899362
736543,NSPTRG00000047829,1.1381,1.03974,3.00651,2.52446,3.58525
465615,NSPTRG00000047836,6.459515,3.81363,8.975672004,9.054845461,3.321324004
738162,NSPTRG00000047838,0,0,0,0,0
748520,NSPTRG00000047842,0.405881,0.418745,2.59553,1.8018,0.405503
741196,NSPTRG00000047843,5.28417,1.475347,9.39212,3.11373,12.46381
466567,NSPTRG00000047850,0,0,0,0,0
459854,NSPTRG00000047853,1.23159,0.745096,4.22398,2.79995,3.49533
100611193,NSPTRG00000047869,0.89275,1.23906,0.617876,1.21008,0.290628
747625,NSPTRG00000047870,0.524108,0.539033,3.74486,2.54462,0.669353
454496,NSPTRG00000047873,1.74457,0.731774,3.67312,1.63129,1.44823
468098,NSPTRG00000047880,0,0,0,0,0
745701,NSPTRG00000047890,0.0680896,0,8.78428,2.5592,0.0418692
467783,NSPTRG00000047900,0,0,0,0,0
472356,NSPTRG00000047904,0.0693087,0.108806,0.259932,0.704908,0
469095,NSPTRG00000047906,1.20021,1.03465,2.75414,2.97908,1.56677
