,X,ens_gene,Mus_sg_1,Mus_sg_2,Mus_sg_3,Mus_sg_4,Mus_hrt_1,Mus_hrt_2,Mus_hrt_3,Mus_kidn_1,Mus_kidn_2,Mus_kidn_3,Mus_livr_1,Mus_livr_2,Mus_livr_3,Mus_livr_4,gene_id
837,846,ENSMUSG00000005469,7.57132,7.631780001,8.75549,7.4682,123.75615,130.299011,131.752137,64.926864,63.558681,65.703656,47.3486,39.887247,42.0106,40.732255,18747
838,847,ENSMUSG00000005470,0.966031,0.522480022,0.613443,0.373471,1.521333,1.17324,1.55205,2.97055,2.275976,1.94542,0.763115,1.122258,0.530659,1.280946,66929
839,848,ENSMUSG00000005474,0,0,0,0,0,0.173246,0,0,0,0,0,0,0,0,59310
840,849,ENSMUSG00000005481,3.527296,4.219646,4.8873976,3.0359174,11.356499,11.680806,11.060514,20.111842,21.285851,20.331442,12.187513,15.354925,14.108981,15.947779,68278
841,850,ENSMUSG00000005483,1.957066,2.13394,1.87726,2.106014,6.49253,7.4124,7.115389,21.2032,20.609,22.302547,13.7705046,14.597277,14.6610672,14.18576,81489
842,851,ENSMUSG00000005493,0.089820366,0.148829504,0.118733158,0.044272535,0.656483999,0.40365537,0.396976996,1.176518009,0.895479916,1.238215389,0.288640028,0.826492234,0.768491847,0.95806987,55993
843,852,ENSMUSG00000005501,0.9131276,1.2733355,1.0672617,1.0067374,5.3606284,5.870547116,6.2772691,6.936732376,6.9093864,7.3656234,5.9305315,7.7495335,6.5479256,8.178590517,227334
844,853,ENSMUSG00000005503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14028
845,854,ENSMUSG00000005505,0.859212,0.8155928,1.2183,0.6599762,4.4621187,3.759056,4.30111,6.5510093,6.555028,6.434035,5.017,6.253161,4.9629261,6.315087,67136
846,855,ENSMUSG00000005506,2.302688585,2.628575734,3.502547626,3.238005406,15.01356535,10.47024607,10.37826175,15.54061599,14.54375304,15.70057617,19.7135616,20.75827371,25.04105619,20.70755,13046
847,856,ENSMUSG00000005510,13.353298,14.087111,13.417273,13.961077,235.28531,179.64114,183.07404,155.40015,157.76618,150.73115,86.118633,88.413406,85.431405,93.96774,68349
848,857,ENSMUSG00000005514,6.337996548,9.485139,8.273400002,8.304431,27.904862,57.79124,60.157468,273.298867,258.829376,277.635907,278.986745,216.791239,229.09601,233.531804,18984
849,858,ENSMUSG00000005533,0.9779878,1.01824,1.280825,1.5440192,3.225352,3.5605763,4.3091287,19.5276996,19.5653964,20.0616641,0.476359,0.5445012,0.489378,0.554208,16001
850,859,ENSMUSG00000005534,2.2884648,3.5290552,4.0678844,3.746854,15.541082,13.525088,14.1971563,17.980091,19.028399,20.134684,29.9880797,27.8184708,26.489018,28.850049,16337
851,860,ENSMUSG00000005540,2.99228,2.96429,3.337931,2.971715804,0.77791,1.0684102,0.808231,3.730051,3.965932,3.485794,0.606281005,1.075562,1.031607,0.570313,14128
852,861,ENSMUSG00000005547,1.094967,1.5731316,0.47901,0.492092,0.0977711,22.886295,21.801872,50.04997,48.32504,52.73279,407.4344,436.0135,414.9464,440.7484,13087
853,862,ENSMUSG00000005553,0.221106073,0.185079286,0.19235226,0.175807672,0.041179,0.052157,0.009159842,20.0443194,22.341861,22.2970357,1.3518845,3.398736,3.7234525,4.878453,11944
854,863,ENSMUSG00000005566,17.903455,17.729596,16.92773933,15.137783,65.658394,63.112694,57.732838,95.111932,106.957535,104.514627,53.268388,77.305021,66.550252,71.175107,21849
855,864,ENSMUSG00000005575,13.312918,18.121776,18.78136272,15.47066,134.185266,147.08054,150.727274,172.325883,167.502878,170.12395,69.79431,66.4651607,71.146939,68.472204,22192
856,865,ENSMUSG00000005580,1.659550035,1.838270313,2.231685702,1.727658346,6.426416,6.160081,5.881883,7.132370746,6.639258784,7.404037994,8.167054175,12.14162376,12.748292,12.6019331,11515
857,866,ENSMUSG00000005583,1.576026934,2.837079955,1.584444587,1.33415,17.937346,19.9327945,18.6208948,9.0678694,8.246988701,8.45113262,1.753852,1.526433,1.3428268,1.310835,17260
858,867,ENSMUSG00000005609,3.2410574,4.1410101,4.6429751,4.1571079,4.4346805,3.498199,3.4341158,9.164186,9.345105,9.4697179,3.4616786,6.271235,5.553809,5.793564916,22083
859,868,ENSMUSG00000005610,70.454873,78.780511,76.562799,76.127135,137.622976,80.899114,79.3315194,94.6203821,95.4081632,92.586191,63.685206,63.055934,60.845642,64.601445,13690
860,869,ENSMUSG00000005611,0.2461547,0.861782,0.436469,0.278926,5.900535,8.040926,6.652466,6.213876,6.297989,5.942865,0.881058,1.33554,0.9248135,1.368132,17540
861,870,ENSMUSG00000005615,2.651521,2.2767817,2.33731,2.799846,25.965094,26.272402,25.5617349,33.023646,32.253146,31.648991,38.5098512,31.641863,28.524259,30.1602598,13026
862,871,ENSMUSG00000005621,3.04679,4.699959,3.55366,4.141229,4.21396,7.113228,6.413433,14.428982,13.540192,14.110253,8.25412,10.33564,13.09247,11.01361,233410
863,872,ENSMUSG00000005625,14.482455,13.511042,13.158133,14.82889,54.896616,66.280815,66.742532,98.484638,90.704998,93.572508,109.606291,119.29949,111.605465,116.99488,19185
864,873,ENSMUSG00000005628,0.735573,0.35349,0,0.503788,12.369217,16.974632,13.173935,2.517629,2.231745,2.497727,0.789449,1.76314,0.761523,2.005818,50874
865,874,ENSMUSG00000005640,0.11492,0.0468005,0.0244573,0.0819357,0.0416606,0.0953251,0.0876075,18.140505,16.648513,17.917922,0.0210761,0,0.0270408,0.0747508,23920
866,875,ENSMUSG00000005649,0,0,0,0,0,0.0179193,0.0188416,0.023693,0.0378095,0.0481954,0.0292857,0.0339003,0,0.0306384,29865
867,876,ENSMUSG00000005656,7.198617,7.85159,9.78189,6.41256,12.856443,13.9763841,17.17635,140.028546,131.68946,134.0852,31.08264203,153.929789,177.94601,170.740836,72183
