"","moduleColors","gene"
"2374","turquoise","107296884"
"2375","turquoise","107296891"
"2376","turquoise","107296910"
"2377","turquoise","107296913"
"2378","turquoise","107296916"
"2379","turquoise","107296917"
"2380","turquoise","107296931"
"2381","turquoise","107296933"
"2382","turquoise","107296939"
"2383","turquoise","107296951"
"2384","turquoise","107296957"
"2385","turquoise","107296973"
"2386","turquoise","107296979"
"2387","turquoise","107296980"
"2388","turquoise","107296981"
"2389","turquoise","107296982"
"2390","turquoise","107296983"
"2391","turquoise","107296987"
"2392","turquoise","107296994"
"2393","turquoise","107296998"
"2394","turquoise","107297000"
"2395","turquoise","107297003"
"2396","turquoise","107297007"
"2397","turquoise","107297009"
"2398","turquoise","107297026"
"2399","turquoise","107297028"
"2400","turquoise","107297039"
"2401","turquoise","107297046"
"2402","turquoise","107297048"
"2403","turquoise","107297050"
"2404","turquoise","107297055"
"2405","turquoise","107297059"
"2406","turquoise","107297064"
"2407","turquoise","107297073"
"2408","turquoise","107297081"
"2409","turquoise","107297083"
"2410","turquoise","107297086"
"2411","turquoise","107297087"
"2412","turquoise","107297089"
"2413","turquoise","107297104"
"2414","turquoise","107297106"
"2415","turquoise","107297116"
"2416","turquoise","107297140"
"2417","turquoise","107297146"
"2418","turquoise","107297150"
"2419","turquoise","107297155"
"2420","turquoise","107297169"
"2421","turquoise","107297170"
"2422","turquoise","107297172"
"2423","turquoise","107297180"
"2424","turquoise","107297182"
"2425","turquoise","107297190"
"2426","turquoise","107297220"
"2427","turquoise","107297221"
"2428","turquoise","107297223"
"2429","turquoise","107297236"
"2430","turquoise","107297246"
"2431","turquoise","107297247"
"2432","turquoise","107297248"
"2433","turquoise","107297254"
"2434","turquoise","107297255"
"2435","turquoise","107297258"
"2436","turquoise","107297263"
"2437","turquoise","107297272"
"2438","turquoise","107297283"
"2439","turquoise","107297286"
"2440","turquoise","107297288"
"2441","turquoise","107297301"
"2442","turquoise","107297302"
"2443","turquoise","107297334"
"2444","turquoise","107297336"
"2445","turquoise","107297359"
"2446","turquoise","107297362"
"2447","turquoise","107297363"
"2448","turquoise","107297375"
"2449","turquoise","107297380"
"2450","turquoise","107297384"
"2451","turquoise","107297403"
"2452","turquoise","107297408"
"2453","turquoise","107297419"
"2454","turquoise","107297420"
"2455","turquoise","107297435"
"2456","turquoise","107297443"
"2457","turquoise","107297460"
"2458","turquoise","107297462"
"2459","turquoise","107297467"
"2460","turquoise","107297475"
"2461","turquoise","107297478"
"2462","turquoise","107297479"
"2463","turquoise","107297505"
"2464","turquoise","107297507"
"2465","turquoise","107297511"
"2466","turquoise","107297526"
"2467","turquoise","107297539"
"2468","turquoise","107297540"
"2469","turquoise","107297542"
"2470","turquoise","107297547"
"2471","turquoise","107297550"
"2472","turquoise","107297554"
"2473","turquoise","107297556"
"2474","turquoise","107297574"
"2475","turquoise","107297578"
"2476","turquoise","107297587"
"2477","turquoise","107297593"
"2478","turquoise","107297594"
"2479","turquoise","107297598"
"2480","turquoise","107297599"
"2481","turquoise","107297604"
"2482","turquoise","107297610"
"2483","turquoise","107297612"
"2484","turquoise","107297620"
"2485","turquoise","107297622"
"2486","turquoise","107297632"
"2487","turquoise","107297635"
"2488","turquoise","107297639"
"2489","turquoise","107297642"
"2490","turquoise","107297658"
"2491","turquoise","107297667"
"2492","turquoise","107297676"
"2493","turquoise","107297677"
"2494","turquoise","107297681"
"2495","turquoise","107297686"
"2496","turquoise","107297693"
"2497","turquoise","107297697"
"2498","turquoise","107297698"
"2499","turquoise","107297701"
"2500","turquoise","107297707"
"2501","turquoise","107297725"
"2502","turquoise","107297735"
"2503","turquoise","107297737"
"2504","turquoise","107297757"
"2505","turquoise","107297770"
"2506","turquoise","107297777"
"2507","turquoise","107297783"
"2508","turquoise","107297785"
"2509","turquoise","107297786"
"2510","turquoise","107297791"
"2511","turquoise","107297796"
"2512","turquoise","107297807"
"2513","turquoise","107297811"
"2514","turquoise","107297819"
"2515","turquoise","107297828"
"2516","turquoise","107297833"
"2517","turquoise","107297835"
