ens_gene,Xeno_hrt_1,Xeno_hrt_2,Xeno_hrt_3,Xeno_kidn_1,Xeno_kidn_2,Xeno_kidn_3,Xeno_livr_1,Xeno_livr_2,Xeno_livr_3,gene_ids
ENSXETG00000000144,503.606,13.9023,3.83275,710.11,554.159,223.507,59.3514,29.1043,34.3756,394786
ENSXETG00000000145,12.3648,1.25956,1.49445,3.54441,14.2993,15.2626,3.39833,12.9692,39.6041,448123
ENSXETG00000000146,6.167417,1.040545,1.25037,3.07193,2.316662,2.899116,0.873997,7.6915,6.55508,100485481
ENSXETG00000000147,14.4296,6.28756,9.08594,13.1053,12.4646,15.823,3.72777,5.97636,7.84614,100379995
ENSXETG00000000148,4.90438452,1.20188252,1.823817004,4.113214,4.20580179,5.0078599,0.649865,0.811728709,0.86241504,779781
ENSXETG00000000149,2.018998,0.925764,0.415608145,1.2819224,1.693248,1.6503121,1.86473,3.39546,8.852348,448355
ENSXETG00000000150,242.0712269,113.23595,240.2388,367.7461139,302.9163682,471.3691735,89.05358,145.6814221,210.3877391,394804
ENSXETG00000000151,0,0,0.050763,0.301482,0.595591,0.565177,0,0.0692109,0,100498637
ENSXETG00000000152,453.5933,0,0.255871227,195.77356,201.91699,257.5746,0.084193664,0.280624,0.991029,105947015
ENSXETG00000000153,5.94108,0.807916,1.1493,5.23556,4.75269,7.62247,4.6611,4.66531,18.4307,100486607
ENSXETG00000000154,6.53459,7.10914,3.18683,7.22643,7.28291,17.7561,0.051534,0.0724162,0.120895,100145595
ENSXETG00000000156,6.386744,6.151415,9.244852,11.94183,17.712581,11.822272,3.281722,6.88092,8.03993,100145197
ENSXETG00000000160,11.9963,7.90363,9.25946,13.6406,15.1283,15.6298,6.0446,5.2288,5.22964,493282
ENSXETG00000000161,56.21327,19.8147504,24.40943,28.65238,26.846854,24.50412,19.7493919,16.94379041,18.81424,407886
ENSXETG00000000162,14.69875125,5.129230003,7.397048603,8.83249091,11.98718,12.0622514,4.507759,6.471705,6.779404372,448624
ENSXETG00000000163,33.5299,22.905765,31.942217,56.22351,55.0137187,46.852567,8.465638,18.381022,21.3388454,100493552
ENSXETG00000000164,0.0489962,0.0302918,0.0264719,0.418048,0.693039,1.13238,0.102772,1.33541,1.11469,101732355
ENSXETG00000000165,7.82108,5.678187,12.8001,19.9795,15.8703,20.7047,7.04044,11.6895,15.557,100145528
ENSXETG00000000168,4.94377,0.151866,0.565399,4.57891,11.7801,3.34075,0.287543,0.449676,0.26811,780382
ENSXETG00000000169,0.134838,0.0443614,0,0.00485996,0.00786428,0.00937489,0.015384,0,0.00456039,100487157
ENSXETG00000000170,2.721673725,3.676908,6.537223,4.463533,5.61731,4.68682,1.646303,2.314741,3.324487,780000
ENSXETG00000000171,29.1128925,7.757952,2.075005,3.932015,3.35033,2.024988,2.536812,1.806628,2.195821,100498152
ENSXETG00000000172,39.5922,23.9308,21.2859,31.0108,35.449,31.4492,20.8958,17.8673,18.1471,394615
ENSXETG00000000173,1.10599,0.441931,0.578942,0.48351,0.521016,0.720906,0,0,0.123539,448767
ENSXETG00000000174,0.251175,0.0867703,0.276268,1.24653,1.54988,0.716933,0.262349,1.50667,2.2458,100038074
ENSXETG00000000175,6.395277129,3.201927,4.861171153,6.078033078,7.129200002,8.475919,1.6281857,3.172793,2.765908,100216150
ENSXETG00000000176,4.46881,8.11744,9.6294,9.99407,12.7478,3.7983,5.71363,31.6113,36.0333,100486740
ENSXETG00000000177,0.546897,1.038500802,1.603893933,0.0948034,0.0255393,1.05544013,0.313274,0.491000075,0.08652913,100491051
ENSXETG00000000178,0.231511,0,0,0.508229,2.86465,0,0,0,0.0366259,779901
ENSXETG00000000181,10.25081,14.1972,68.550257,56.546499,23.059971,41.074087,5.1594,6.72869,8.28207,448735
ENSXETG00000000184,72.1523,18.7009,17.9689,49.9693,46.8791,43.3837,42.0633,60.3515,43.3937,395012
ENSXETG00000000185,41.0621,31.0484,31.4668,84.3299,36.1994,62.251,41.7731,33.3419,43.5923,394761
ENSXETG00000000189,0.353028,0.774067,2.44695,12.6544,2.42519,5.69452,56.1436,38.986,229.786,100486222
ENSXETG00000000191,166.402,309.809,291.257,311.906,254.393,240.861,106.153,101.931,120.891,493261
ENSXETG00000000192,5.1062,3.56588,2.78632,7.63372,6.44101,8.23315,9.76075,6.06208,18.5539,394636
ENSXETG00000000193,29.8345,15.3262,18.6547,39.6951,25.3126,38.7808,21.5526,14.3243,15.1108,448133
ENSXETG00000000196,10.031,32.5069,26.8054,4.05876,6.89519,5.0764,5.97438,11.2326,13.1414,100135352
